dataset,method,scope,structure,source_structure,metric,mean,std,n_cases,source_file
ACDC,ScribbleBench,per_structure,left ventricle,left_ventricle,dsc,0.8538,0.1532,30,/home/gaoqi/dataset/nnU-Net/results/Dataset120_ACDCS_CMPB/test_eval_summary_sam3_metrics.json
ACDC,ScribbleBench,per_structure,left ventricle,left_ventricle,hd95,86.03,76.86,30,/home/gaoqi/dataset/nnU-Net/results/Dataset120_ACDCS_CMPB/test_eval_summary_sam3_metrics.json
ACDC,ScribbleBench,per_structure,left ventricle,left_ventricle,iou,0.7702,0.1914,30,/home/gaoqi/dataset/nnU-Net/results/Dataset120_ACDCS_CMPB/test_eval_summary_sam3_metrics.json
ACDC,ScribbleBench,per_structure,left ventricle,left_ventricle,nsd,0.8215,0.1869,30,/home/gaoqi/dataset/nnU-Net/results/Dataset120_ACDCS_CMPB/test_eval_summary_sam3_metrics.json
ACDC,ScribbleBench,per_structure,myocardium,myocardium,dsc,0.8551,0.0461,30,/home/gaoqi/dataset/nnU-Net/results/Dataset120_ACDCS_CMPB/test_eval_summary_sam3_metrics.json
ACDC,ScribbleBench,per_structure,myocardium,myocardium,hd95,70.13,63.61,30,/home/gaoqi/dataset/nnU-Net/results/Dataset120_ACDCS_CMPB/test_eval_summary_sam3_metrics.json
ACDC,ScribbleBench,per_structure,myocardium,myocardium,iou,0.7497,0.0696,30,/home/gaoqi/dataset/nnU-Net/results/Dataset120_ACDCS_CMPB/test_eval_summary_sam3_metrics.json
ACDC,ScribbleBench,per_structure,myocardium,myocardium,nsd,0.8846,0.0762,30,/home/gaoqi/dataset/nnU-Net/results/Dataset120_ACDCS_CMPB/test_eval_summary_sam3_metrics.json
ACDC,ScribbleBench,overall,overall,,dsc,0.8472,0.1009,30,/home/gaoqi/dataset/nnU-Net/results/Dataset120_ACDCS_CMPB/test_eval_summary_sam3_metrics.json
ACDC,ScribbleBench,overall,overall,,hd95,69.45,56.35,30,/home/gaoqi/dataset/nnU-Net/results/Dataset120_ACDCS_CMPB/test_eval_summary_sam3_metrics.json
