dataset,case_id,ours_dsc,best_baseline_dsc,mean_baseline_dsc,worst_baseline_dsc,min_margin_vs_best_baseline,mean_margin_vs_baselines,all_baselines_beaten,SAT-Pro_dsc,ScribFormer_dsc,ScribbleBench_dsc,EFFDNet_dsc
ACDC,patient005_frame01,0.9377,0.9273,0.9106,0.8784,0.0104,0.0271,True,0.9170,0.8784,0.9273,0.9198
ACDC,patient005_frame13,0.9073,0.9003,0.8817,0.8423,0.0070,0.0256,True,0.9003,0.8423,0.8852,0.8990
ACDC,patient010_frame01,0.9289,0.9245,0.9047,0.8859,0.0044,0.0242,True,0.8983,0.8859,0.9101,0.9245
ACDC,patient010_frame13,0.9198,0.9101,0.8958,0.8718,0.0097,0.0239,True,0.8945,0.8718,0.9070,0.9101
ACDC,patient024_frame01,0.9407,0.9243,0.9170,0.9118,0.0165,0.0237,True,0.9158,0.9118,0.9162,0.9243
ACDC,patient024_frame09,0.8994,0.8924,0.8497,0.7669,0.0070,0.0497,True,0.8924,0.8613,0.7669,0.8784
ACDC,patient030_frame01,0.9415,0.9178,0.8418,0.7415,0.0237,0.0997,True,0.9178,0.8071,0.7415,0.9006
ACDC,patient030_frame12,0.7648,0.8568,0.6846,0.4372,-0.0920,0.0802,False,0.8568,0.6378,0.4372,0.8068
ACDC,patient036_frame01,0.9274,0.9214,0.8978,0.8607,0.0061,0.0297,True,0.9197,0.8894,0.8607,0.9214
ACDC,patient036_frame12,0.9243,0.9163,0.8709,0.7782,0.0080,0.0534,True,0.9041,0.8851,0.7782,0.9163
ACDC,patient039_frame01,0.9240,0.9143,0.9034,0.8882,0.0098,0.0207,True,0.9100,0.8882,0.9143,0.9010
ACDC,patient039_frame10,0.8757,0.9044,0.8235,0.7680,-0.0287,0.0521,False,0.9044,0.7680,0.7732,0.8487
ACDC,patient041_frame01,0.8957,0.8977,0.8644,0.7774,-0.0019,0.0313,False,0.8964,0.8864,0.7774,0.8977
ACDC,patient041_frame11,0.8850,0.8843,0.7988,0.6714,0.0007,0.0862,True,0.8843,0.7941,0.6714,0.8456
