model,threshold,dataset,iou_mean,dice_mean,hd95_mean,nsd_mean
SAM3-Scribble,0.3,acdc,0.8450777174627219,0.912546270322304,4.287906524602575,0.9496208833175387
SAM3-Scribble,0.3,btcv,0.6414195616119384,0.7663389074935195,23.330194421540213,0.6501290263226935
SAM3-Scribble,0.3,promise12,0.81165568911863,0.8947218875893417,7.609306233052257,0.8287793189454802
SAM3-Scribble,0.3,macro_avg,0.7660509893977633,0.8578690218017218,11.742469059731683,0.8095097428619041
SAM3-Scribble,0.5,acdc,0.8493772076729817,0.9161306836826106,3.471667468747447,0.9542218705366962
SAM3-Scribble,0.5,btcv,0.6421238213717734,0.766695943527789,23.38907491956732,0.648698955852789
SAM3-Scribble,0.5,promise12,0.8220771963206549,0.9012404446818864,6.104542224625608,0.8452900843276385
SAM3-Scribble,0.5,macro_avg,0.77119274178847,0.861355690630762,10.98842820431346,0.8160703035723745
SAM3-Scribble,0.7,acdc,0.8493772076729817,0.9161306836826106,3.471667468747447,0.9542218705366962
SAM3-Scribble,0.7,btcv,0.6451442822949561,0.76842494590296,22.012717119486968,0.6604520971475508
SAM3-Scribble,0.7,promise12,0.8258319845396207,0.9035593815973255,5.945483876870333,0.8499375006705727
SAM3-Scribble,0.7,macro_avg,0.7734511581691862,0.862705003727632,10.476622821701582,0.8215371561182732
SAM3-Scribble,0.9,acdc,0.8499623853339763,0.9164693194631568,3.4190625625918547,0.9542678597044378
SAM3-Scribble,0.9,btcv,0.6300698723646566,0.754218151427369,21.51925358423291,0.644804283617867
SAM3-Scribble,0.9,promise12,0.8308349834995882,0.906512851167466,5.017133255971562,0.857518425504719
SAM3-Scribble,0.9,macro_avg,0.770289080399407,0.8590667740193306,9.985149800932108,0.8188635229423413
SAM3-Full,0.3,acdc,0.8668201319393212,0.9254829903832803,3.347001281104085,0.9622688020718171
SAM3-Full,0.3,btcv,0.6270579819132946,0.7523652280750449,27.715691212294328,0.6611198394047859
SAM3-Full,0.3,promise12,0.8391058189161281,0.9116944472152434,6.836432028297678,0.868320426745441
SAM3-Full,0.3,macro_avg,0.7776613109229147,0.8631808885578561,12.63304150723203,0.8305696894073481
SAM3-Full,0.5,acdc,0.8677375892439666,0.9260343308673504,2.9907196262733717,0.963017244811205
SAM3-Full,0.5,btcv,0.6321939248050782,0.7554356315530404,24.209366788581747,0.6655004628239237
SAM3-Full,0.5,promise12,0.8435675993988944,0.9143971416346542,6.629110986718006,0.8722849664786556
SAM3-Full,0.5,macro_avg,0.781166371149313,0.8652890346850151,11.276399133857709,0.8336008913712615
SAM3-Full,0.7,acdc,0.870909711844424,0.9292843767725335,3.0723880969519075,0.9656924792036848
SAM3-Full,0.7,btcv,0.6303693354132255,0.7504623027972072,22.33650541706639,0.6623221324624615
SAM3-Full,0.7,promise12,0.8451737746021114,0.9152909459094326,6.053741258377361,0.8739158583841452
SAM3-Full,0.7,macro_avg,0.7821509406199203,0.8650125418263911,10.487544924131887,0.8339768233500973
SAM3-Full,0.9,acdc,0.7860586446614659,0.870928527558996,11.902902200376689,0.8866931633129292
SAM3-Full,0.9,btcv,0.28238131252796156,0.3445083264186966,40.13429027048779,0.28468864873277194
SAM3-Full,0.9,promise12,0.6424532443646959,0.7726034280309382,10.78597169872908,0.652681274551041
SAM3-Full,0.9,macro_avg,0.5702977338513745,0.6626800940028769,20.94105472319785,0.6080210288655807
